run_accession	study_accession	sample_accession	experiment_accession	tax_id	scientific_name	instrument_platform	instrument_model	library_layout	library_strategy	library_source	read_count	base_count	center_name	experiment_title	fastq_bytes	fastq_md5	fastq_ftp	sample_alias
SRR5946803	PRJNA398089	SAMN07521500	SRX3105374	408170	human gut metagenome	ILLUMINA	Illumina HiSeq 2000	PAIRED	WGS	METAGENOMIC	12199644	2228368496	SUB2966903	Illumina HiSeq 2000 sequencing: PSMA266I stool WGS	572028797;560860798	49f124888aa29c88c83c45c3a0d88e63;972d4b49416d47bde4aab4a772f2b739	ftp.sra.ebi.ac.uk/vol1/fastq/SRR594/003/SRR5946803/SRR5946803_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR594/003/SRR5946803/SRR5946803_2.fastq.gz	M2061C21
SRR5935785	PRJNA398089	SAMN07509802	SRX3095841	408170	human gut metagenome	ILLUMINA	Illumina HiSeq 2000	PAIRED	WGS	METAGENOMIC	13817496	2535866229	SUB2954905	Illumina HiSeq 2000 sequencing: HSM6XRV8 stool WGS	668920970;667648176	c9b2b05e01c1a5f637e1914148cc0815;173212b18c840c7aa460f68d6df06073	ftp.sra.ebi.ac.uk/vol1/fastq/SRR593/005/SRR5935785/SRR5935785_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR593/005/SRR5935785/SRR5935785_2.fastq.gz	H4019C12
SRR5946804	PRJNA398089	SAMN07521499	SRX3105373	408170	human gut metagenome	ILLUMINA	Illumina HiSeq 2000	PAIRED	WGS	METAGENOMIC	15284611	2882097273	SUB2966903	Illumina HiSeq 2000 sequencing: MSM9VZHB stool WGS	738930951;747899583	3160b5c25d3cef6a274273c235ff251a;0dc09ca76fdf44593b4082148ddc692b	ftp.sra.ebi.ac.uk/vol1/fastq/SRR594/004/SRR5946804/SRR5946804_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR594/004/SRR5946804/SRR5946804_2.fastq.gz	P6035C5
SRR5946805	PRJNA398089	SAMN07521498	SRX3105372	408170	human gut metagenome	ILLUMINA	Illumina HiSeq 2000	PAIRED	WGS	METAGENOMIC	10737503	1924241629	SUB2966903	Illumina HiSeq 2000 sequencing: PSMA264U stool WGS	506446886;511324898	3b50ba8dba0bf0680e7fa45c6ab08f7e;84799931300f7b9bd3221a5e10b3df83	ftp.sra.ebi.ac.uk/vol1/fastq/SRR594/005/SRR5946805/SRR5946805_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR594/005/SRR5946805/SRR5946805_2.fastq.gz	H4031C20
SRR6180590	PRJNA398089	SAMN07794010	SRX3291235	1070528	viral metagenome	ILLUMINA	Illumina HiSeq 2000	PAIRED	WGS	METAGENOMIC	1578200	249355600		Illumina HiSeq 2000 sequencing: Stool sample C3028C13 MVX	98124779;94979712	f20e645089b0ce8888a8c437f23c1bd8;30ef29089295961630230338cd6c06d4	ftp.sra.ebi.ac.uk/vol1/fastq/SRR618/000/SRR6180590/SRR6180590_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR618/000/SRR6180590/SRR6180590_2.fastq.gz	C3028C13_MVX
SRR5946812	PRJNA398089	SAMN07521753	SRX3105365	408170	human gut metagenome	ILLUMINA	Illumina HiSeq 2000	PAIRED	WGS	METAGENOMIC	5434086	1013954686	SUB2966903	Illumina HiSeq 2000 sequencing: CSM79HHM stool WGS	278814250;275305298	604a9cafda97260d74cbe5c711a3bdc2;4c790e0c50f9f0f707f8813f6685178d	ftp.sra.ebi.ac.uk/vol1/fastq/SRR594/002/SRR5946812/SRR5946812_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR594/002/SRR5946812/SRR5946812_2.fastq.gz	E5013C9
SRR5946813	PRJNA398089	SAMN07521501	SRX3105364	408170	human gut metagenome	ILLUMINA	Illumina HiSeq 2000	PAIRED	WGS	METAGENOMIC	11092940	2088967500	SUB2966903	Illumina HiSeq 2000 sequencing: MSM9VZLB stool WGS	534700199;547850256	7b39b13239ecea5557d3b9883670f50d;bd1c010a2d226af24c4b2741899097bf	ftp.sra.ebi.ac.uk/vol1/fastq/SRR594/003/SRR5946813/SRR5946813_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR594/003/SRR5946813/SRR5946813_2.fastq.gz	P6037C2
SRR5935786	PRJNA398089	SAMN07509803	SRX3095840	408170	human gut metagenome	ILLUMINA	Illumina HiSeq 2000	PAIRED	WGS	METAGENOMIC	10054299	1885642952	SUB2954905	Illumina HiSeq 2000 sequencing: CSM79HIZ stool WGS	483303400;486792147	b5391c97751c3fdecdbe3befbd632b0d;eb15b756a7f36f730584b7ac082d8c76	ftp.sra.ebi.ac.uk/vol1/fastq/SRR593/006/SRR5935786/SRR5935786_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR593/006/SRR5935786/SRR5935786_2.fastq.gz	C3016C12
SRR6180591	PRJNA398089	SAMN07793838	SRX3291234	1070528	viral metagenome	ILLUMINA	Illumina HiSeq 2000	PAIRED	WGS	METAGENOMIC	465968	73622944		Illumina HiSeq 2000 sequencing: Stool sample C3028C4 MVX	32884781;32263656	072f0b826f2fa11790d935ac00eb6a9a;9d63af187515c3fbbef075a1e944594f	ftp.sra.ebi.ac.uk/vol1/fastq/SRR618/001/SRR6180591/SRR6180591_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR618/001/SRR6180591/SRR6180591_2.fastq.gz	C3028C4_MVX
SRR5946815	PRJNA398089	SAMN07521853	SRX3105361	408170	human gut metagenome	ILLUMINA	Illumina HiSeq 2000	PAIRED	WGS	METAGENOMIC	17357796	3133801130	SUB2966903	Illumina HiSeq 2000 sequencing: HSM7CYZD stool WGS	861630277;857180324	a2acb504eb192bb2e4bc8b1b9ac5542a;0dd833242fdfb6f0ff582fb85aff283f	ftp.sra.ebi.ac.uk/vol1/fastq/SRR594/005/SRR5946815/SRR5946815_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR594/005/SRR5946815/SRR5946815_2.fastq.gz	H4023C10
SRR6180592	PRJNA398089	SAMN07793837	SRX3291233	1070528	viral metagenome	ILLUMINA	Illumina HiSeq 2000	PAIRED	WGS	METAGENOMIC	978630	154623540		Illumina HiSeq 2000 sequencing: Stool sample C3012C14 MVX	59095750;58644597	d75dc8a8947e8bb6e0ebd1dd955c7a19;5dbb92820f526d5382c501987fbbbd67	ftp.sra.ebi.ac.uk/vol1/fastq/SRR618/002/SRR6180592/SRR6180592_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR618/002/SRR6180592/SRR6180592_2.fastq.gz	C3012C14_MVX
